address,bed_room_location_privacy,beds,challenging_behaviors,city,funding_type,nursing_support,overnight_supervision,phone_number,physical_accommodations,profile_id,provider,state,type_of_home,typical_staffing_pattern,updated,url
17942 Hawksbill Drive,"Main Floor, Basement, Upstairs /",2,"Self Injurious, Verbal Aggression, Physical Aggression, Elopement, Undesirable Sexual Behaviors, Alcohol / Chemical Dependency, Positive Support Transition Plan",Lakeville,"DD Waiver, CAC, CADI Waiver, TBI, Private Pay",On Call,Awake,612-369-7570,"Wheelchair, Ramp, Hospital Bed, Stair Lift, Bathroom Hand Rails",5157,Radia Moti AFC,MN,"CRS/Formerly SLS, Foster Care, Respite",1:3,"Jul 20, 2023",https://mnopenings.org/profile/housing/?profile=5157
531 Van Buren Ave,Main Floor /,2,"Self Injurious, Verbal Aggression, Property Destruction, Undesirable Sexual Behaviors, Alcohol / Chemical Dependency",Saint Paul,"DD Waiver, CADI Waiver, TBI, Elderly Waiver, Private Pay",On Call,Sleep,952-353-3092,"Wheelchair, Hoyer Lift, Ramp, Bathroom Hand Rails",5438,Tsehay Bultum AFC,MN,"Foster Care, SILS, Temporary Care",1:2,"Jul 20, 2023",https://mnopenings.org/profile/housing/?profile=5438
2620 116th LN NW,"Basement, Upstairs /",2,"Verbal Aggression, Physical Aggression, Property Destruction, Elopement, Undesirable Sexual Behaviors, Alcohol / Chemical Dependency, Emergency Use of Controlled Procedure, Positive Support Transition Plan",Coon Rapids,"DD Waiver, CAC, CADI Waiver, TBI, Elderly Waiver, Private Pay, Medical Assistance",,Awake,6122365759,"Wheelchair, Ramp, Hospital Bed, Stair Lift, Bathroom Hand Rails",5300,Mustfa Hayato  AFC,MN,Foster Care,1:2,"Jul 20, 2023",https://mnopenings.org/profile/housing/?profile=5300
2108 70th Avenue North,Main Floor /,2,"Property Destruction, Alcohol / Chemical Dependency, Emergency Use of Controlled Procedure",Brooklyn Center,"CADI Waiver, TBI, Elderly Waiver, Private Pay, Medical Assistance",On Site,Awake,763-566-4661,Bathroom Hand Rails,3344,"His Services Home Care, LLC",MN,"In-Home, Temporary Care",1:3,"Jul 20, 2023",https://mnopenings.org/profile/housing/?profile=3344
3935 5Th Ave S,"Main Floor, Basement /",3,"Self Injurious, Verbal Aggression, Physical Aggression, Property Destruction, Elopement, Undesirable Sexual Behaviors, Alcohol / Chemical Dependency, Emergency Use of Controlled Procedure, Positive Support Transition Plan",Minneapolis,"DD Waiver, CADI Waiver, TBI, Elderly Waiver",Weekly Visit,Awake,612-868-2265,,4105,Capital Home Health Care,MN,"CRS/Formerly SLS, In-Home, Respite",1:1,"Jul 20, 2023",https://mnopenings.org/profile/housing/?profile=4105
3516 73rd Ave N,"Main Floor, Basement, Upstairs /",2,"Self Injurious, Verbal Aggression, Physical Aggression, Property Destruction, Elopement, Alcohol / Chemical Dependency, Emergency Use of Controlled Procedure, Positive Support Transition Plan",Brooklyn Park,"DD Waiver, CAC, CADI Waiver, TBI, Elderly Waiver, Private Pay, Medical Assistance",On Site,Awake,612-886-7411,"Wheelchair, Ramp, Bathroom Hand Rails",3825,Capital Home Health Care,MN,"CRS/Formerly SLS, ICF, Foster Care, SILS, In-Home, Respite, Temporary Care, Out of Metro Crisis Bed",1:2,"Jul 20, 2023",https://mnopenings.org/profile/housing/?profile=3825
263 Burgess Street,"Main Floor, Basement, Upstairs /",3,"Self Injurious, Verbal Aggression, Physical Aggression, Property Destruction, Elopement, Alcohol / Chemical Dependency, Emergency Use of Controlled Procedure, Positive Support Transition Plan","St, Paul","DD Waiver, CAC, CADI Waiver, TBI, Elderly Waiver, Private Pay, Medical Assistance",Weekly Visit,Awake,612-868-2265,,3826,Capital Home Health Care,MN,"CRS/Formerly SLS, ICF, Foster Care, SILS, In-Home, Respite, Temporary Care, Out of Metro Crisis Bed",1:2,"Jul 20, 2023",https://mnopenings.org/profile/housing/?profile=3826
9540 Columbus Ave South,"Main Floor, Basement /",3,"Self Injurious, Verbal Aggression, Physical Aggression, Property Destruction, Positive Support Transition Plan",Bloomington,"CADI Waiver, TBI, Elderly Waiver, Private Pay, Medical Assistance",Weekly Visit,Awake,952 4577992,"Wheelchair, Ramp, Bathroom Hand Rails",4311,Sunshine Assisted Living Services L.L.C,MN,"ICF, In-Home",1:2,"Jul 20, 2023",https://mnopenings.org/profile/housing/?profile=4311
285 Ironton st ne,"Main Floor, Basement, Upstairs /",4,"Self Injurious, Verbal Aggression, Physical Aggression, Emergency Use of Controlled Procedure, Positive Support Transition Plan",Fridley,"CAC, CADI Waiver, TBI, Elderly Waiver, Private Pay, Medical Assistance",Weekly Visit,Awake,7637446445,Bathroom Hand Rails,5400,OnTime Care LLC,MN,"CRS/Formerly SLS, SILS, In-Home, Respite, Temporary Care, Out of Metro Crisis Bed",1:3,"Jul 20, 2023",https://mnopenings.org/profile/housing/?profile=5400
10921 Jersey Court North,"Main Floor, Basement /",5,"Self Injurious, Verbal Aggression, Physical Aggression, Property Destruction, Elopement, Undesirable Sexual Behaviors, Alcohol / Chemical Dependency, Emergency Use of Controlled Procedure, Positive Support Transition Plan",Champlin,"CAC, CADI Waiver, TBI, Elderly Waiver, Private Pay, Medical Assistance",On Site,Awake,6122035987,"Hospital Bed, Bathroom Hand Rails",5441,Gentle Care Assisted Living,MN,"CRS/Formerly SLS, ICF, SILS, In-Home, Respite, Out of Metro Crisis Bed",1:1,"Jul 20, 2023",https://mnopenings.org/profile/housing/?profile=5441
2240 Ide Court,Main Floor /,5,"Self Injurious, Verbal Aggression, Physical Aggression, Property Destruction, Elopement, Undesirable Sexual Behaviors, Alcohol / Chemical Dependency, Emergency Use of Controlled Procedure, Positive Support Transition Plan",Maplewood,"CAC, CADI Waiver, TBI, Elderly Waiver, Private Pay, Medical Assistance",Weekly Visit,Awake,5733550177,,4203,Legend Health Care Resources,MN,"CRS/Formerly SLS, ICF, Foster Care, SILS, In-Home, Respite, Out of Metro Crisis Bed",1:2,"Jul 20, 2023",https://mnopenings.org/profile/housing/?profile=4203
"216 Maple LN Roseville, MN 55113",Main Floor /,3,"Self Injurious, Verbal Aggression, Physical Aggression, Property Destruction, Undesirable Sexual Behaviors, Alcohol / Chemical Dependency",Roseville,"CADI Waiver, Elderly Waiver, Private Pay, Medical Assistance",On Call,Awake,9524658087,"Wheelchair, Ramp, Bathroom Hand Rails",4964,Sunrise Residential Services LLC,MN,"CRS/Formerly SLS, SILS",1:2,"Jul 20, 2023",https://mnopenings.org/profile/housing/?profile=4964
2092 Oakridge Street,"Main Floor, Basement /",5,"Self Injurious, Verbal Aggression, Physical Aggression, Property Destruction, Elopement, Undesirable Sexual Behaviors, Alcohol / Chemical Dependency, Positive Support Transition Plan",Saint Paul,"CADI Waiver, TBI, Elderly Waiver, Private Pay, Medical Assistance",On Site,Awake,6513478037,"Wheelchair, Hoyer Lift, Ramp, Hospital Bed, Bathroom Hand Rails",5369,"Perfection Health Care Services, Inc (18+)",MN,"CRS/Formerly SLS, ICF, Foster Care, SILS, In-Home, Respite, Temporary Care, Out of Metro Crisis Bed",1:2,"Jul 20, 2023",https://mnopenings.org/profile/housing/?profile=5369
1225 Cook Avenue East,"Main Floor, Basement /",2,"Self Injurious, Verbal Aggression, Physical Aggression, Property Destruction, Elopement, Undesirable Sexual Behaviors, Alcohol / Chemical Dependency, Emergency Use of Controlled Procedure",Saint Paul,"CADI Waiver, TBI, Elderly Waiver, Private Pay, Medical Assistance",On Site,Awake,6513478037,"Wheelchair, Hoyer Lift, Ramp, Hospital Bed, Bathroom Hand Rails",5075,"Perfection Health Care Services, Inc (18+)",MN,"CRS/Formerly SLS, ICF, SILS, In-Home, Respite, Temporary Care, Out of Metro Crisis Bed",1:2,"Jul 20, 2023",https://mnopenings.org/profile/housing/?profile=5075
842 102ND LN NE,"Main Floor, Basement /",2,"Self Injurious, Verbal Aggression, Physical Aggression, Property Destruction, Elopement, Undesirable Sexual Behaviors, Alcohol / Chemical Dependency, Emergency Use of Controlled Procedure, Positive Support Transition Plan",Blaine,"DD Waiver, CADI Waiver, TBI, Private Pay, Medical Assistance",On Site,Awake,6513383976,"Wheelchair, Hoyer Lift, Ramp, Hospital Bed, Stair Lift, Bathroom Hand Rails",5427,"Key Living, LLC (55+ CADI, BI, TBI & DD)",MN,CRS/Formerly SLS,2:4,"Jul 20, 2023",https://mnopenings.org/profile/housing/?profile=5427
6714 92nd Bay South,Main Floor /,2,"Self Injurious, Verbal Aggression, Property Destruction, Elopement, Undesirable Sexual Behaviors, Alcohol / Chemical Dependency, Emergency Use of Controlled Procedure, Positive Support Transition Plan",Cottage Grove,"CAC, CADI Waiver, TBI, Private Pay, Medical Assistance",On Call,Awake,6513662730,"Wheelchair, Ramp, Bathroom Hand Rails",5086,Caringhands Home Health Care INC.,MN,"SILS, In-Home, Respite",1:3,"Jul 20, 2023",https://mnopenings.org/profile/housing/?profile=5086
8613 Zenith Road (CALL TODAY ABOUT FREE RENT FOR 1ST 2 MONTHS!!),"Main Floor, Basement /",3,"Self Injurious, Verbal Aggression, Physical Aggression, Property Destruction, Elopement, Undesirable Sexual Behaviors, Alcohol / Chemical Dependency, Emergency Use of Controlled Procedure, Positive Support Transition Plan",Bloomington,"CADI Waiver, Elderly Waiver, Private Pay",On Call,Awake,(612)402-9116,,3401,Dignity Home Care L.L.C (Any Age),MN,"CRS/Formerly SLS, ICF, SILS, In-Home",1:2,"Jul 20, 2023",https://mnopenings.org/profile/housing/?profile=3401
2830 12TH Ave S,"Main Floor, Basement, Upstairs /",2,"Self Injurious, Verbal Aggression, Physical Aggression, Property Destruction, Elopement, Undesirable Sexual Behaviors, Alcohol / Chemical Dependency, Emergency Use of Controlled Procedure, Positive Support Transition Plan",Minneapolis,"CADI Waiver, TBI, Elderly Waiver, Private Pay, Medical Assistance",On Site,Awake,6129860870,,3750,Midtown Housing Services LLC,MN,"CRS/Formerly SLS, ICF, SILS, In-Home, Temporary Care, Out of Metro Crisis Bed",1:3,"Jul 20, 2023",https://mnopenings.org/profile/housing/?profile=3750
"3909 4th Avenue, South","Main Floor, Basement /",2,"Self Injurious, Verbal Aggression, Physical Aggression, Property Destruction, Elopement, Undesirable Sexual Behaviors, Alcohol / Chemical Dependency, Emergency Use of Controlled Procedure, Positive Support Transition Plan",Minneapolis,"CAC, CADI Waiver, TBI, Elderly Waiver, Private Pay, Medical Assistance",Weekly Visit,Awake,612-236-4531,"Wheelchair, Ramp, Bathroom Hand Rails",3282,Shire's Group Home Inc,MN,In-Home,1:1,"Jul 20, 2023",https://mnopenings.org/profile/housing/?profile=3282
8224 A8TH AVE SOUTH,,5,"Self Injurious, Verbal Aggression, Physical Aggression, Property Destruction, Elopement, Undesirable Sexual Behaviors, Alcohol / Chemical Dependency, Emergency Use of Controlled Procedure, Positive Support Transition Plan",BLOOMINGTON,"CAC, CADI Waiver, TBI, Elderly Waiver, Medical Assistance",On Call,Awake,9526868459,"Wheelchair, Ramp, Bathroom Hand Rails",5394,HELPFUL HANDS LLC,MN,"ICF, In-Home",1:3,"Jul 20, 2023",https://mnopenings.org/profile/housing/?profile=5394
712 E 152ND STREET,Main Floor /,2,"Self Injurious, Verbal Aggression, Physical Aggression, Property Destruction, Elopement, Undesirable Sexual Behaviors, Alcohol / Chemical Dependency, Emergency Use of Controlled Procedure, Positive Support Transition Plan",BURNSVILLE,"CAC, CADI Waiver, TBI, Elderly Waiver, Medical Assistance",On Call,Awake,612-750-5968,"Wheelchair, Ramp",4848,A CARING HOME LLC,MN,"CRS/Formerly SLS, ICF, In-Home, Respite",1:3,"Jul 20, 2023",https://mnopenings.org/profile/housing/?profile=4848
6231 BLOOMINGTON AVE,Main Floor /,1,"Self Injurious, Verbal Aggression, Physical Aggression, Property Destruction, Elopement, Undesirable Sexual Behaviors, Alcohol / Chemical Dependency, Emergency Use of Controlled Procedure, Positive Support Transition Plan",RICHFIELD,"CAC, CADI Waiver, TBI, Elderly Waiver, Private Pay, Medical Assistance",On Site,Awake,612-750-5968,"Wheelchair, Ramp, Bathroom Hand Rails",4847,A CARING HOME LLC,MN,"CRS/Formerly SLS, ICF, SILS, In-Home",1:3,"Jul 20, 2023",https://mnopenings.org/profile/housing/?profile=4847
CALL NOW!!(Wheelchair Accessible),Main Floor /,5,"Self Injurious, Verbal Aggression, Physical Aggression, Property Destruction, Elopement, Undesirable Sexual Behaviors, Alcohol / Chemical Dependency, Emergency Use of Controlled Procedure, Positive Support Transition Plan",RICHFIELD,"CAC, CADI Waiver, TBI, Elderly Waiver, Private Pay, Medical Assistance",On Site,Awake,612-750-5968,"Wheelchair, Ramp",5198,A CARING HOME LLC,MN,"CRS/Formerly SLS, ICF, SILS, In-Home",1:3,"Jul 20, 2023",https://mnopenings.org/profile/housing/?profile=5198
*** 110th lane NW,"Main Floor, Basement /",5,"Self Injurious, Undesirable Sexual Behaviors, Positive Support Transition Plan",Coon Rapids,"CADI Waiver, TBI, Elderly Waiver, Private Pay, Medical Assistance",On Site,Awake,7634981627,Hospital Bed,5115,Smary’s Home Healthcare LLC,MN,"CRS/Formerly SLS, Respite",1:2,"Jul 20, 2023",https://mnopenings.org/profile/housing/?profile=5115
10352 Morris Rd,"Main Floor, Basement /",3,"Self Injurious, Verbal Aggression, Physical Aggression, Property Destruction, Elopement, Undesirable Sexual Behaviors, Alcohol / Chemical Dependency, Emergency Use of Controlled Procedure, Positive Support Transition Plan",Bloomington,"DD Waiver, CAC, CADI Waiver, TBI, Elderly Waiver, Medical Assistance",On Site,Awake,9523938233,Bathroom Hand Rails,5270,Elite Home Health Services,MN,"CRS/Formerly SLS, Foster Care, In-Home, Respite",1:1,"Jul 20, 2023",https://mnopenings.org/profile/housing/?profile=5270
xxxx Hampshire Cir N,"Main Floor, Basement, Upstairs /",2,"Self Injurious, Verbal Aggression, Elopement, Undesirable Sexual Behaviors, Emergency Use of Controlled Procedure, Positive Support Transition Plan",Brooklyn Park,"CADI Waiver, TBI, Elderly Waiver, Private Pay, Medical Assistance",Weekly Visit,Electronic Monitoring,612 423 6690,,3211,ANGEL CARE HOMES LLC,MN,In-Home,1:3,"Jul 20, 2023",https://mnopenings.org/profile/housing/?profile=3211
26254 111th Street,Upstairs /,1,"Self Injurious, Verbal Aggression",Zimmerman,"DD Waiver, CADI Waiver, Private Pay",On Call,Sleep,7637423871,,5535,Mount Olivet Rolling Acres,MN,"CRS/Formerly SLS, Foster Care",1:2,"Jul 20, 2023",https://mnopenings.org/profile/housing/?profile=5535
7506 Zinnia Way,"Main Floor, Basement, Upstairs /",2,"Self Injurious, Verbal Aggression, Physical Aggression, Property Destruction, Elopement, Undesirable Sexual Behaviors, Alcohol / Chemical Dependency, Emergency Use of Controlled Procedure, Positive Support Transition Plan",Maple Grove,"CAC, CADI Waiver, TBI, Elderly Waiver, Private Pay, Medical Assistance",Weekly Visit,Awake,952-649-0532,"Wheelchair, Ramp",4356,Advocate Services Inc.,MN,"CRS/Formerly SLS, Foster Care, In-Home",1:2,"Jul 20, 2023",https://mnopenings.org/profile/housing/?profile=4356
5472 W 143rd Street,"Basement, Upstairs /",1,"Self Injurious, Verbal Aggression, Physical Aggression, Property Destruction, Elopement, Undesirable Sexual Behaviors, Alcohol / Chemical Dependency, Emergency Use of Controlled Procedure, Positive Support Transition Plan",Savage,"CADI Waiver, TBI, Elderly Waiver, Private Pay, Medical Assistance",On Site,Awake,612-532-5301,Bathroom Hand Rails,5446,Scott Care Home Inc. 55+,MN,"CRS/Formerly SLS, Foster Care, SILS, In-Home, Out of Metro Crisis Bed",1:3,"Jul 20, 2023",https://mnopenings.org/profile/housing/?profile=5446
7600 59th PL N,"Main Floor, Basement /",4,"Self Injurious, Verbal Aggression, Physical Aggression, Property Destruction, Undesirable Sexual Behaviors, Alcohol / Chemical Dependency",Crystal,"CADI Waiver, TBI, Elderly Waiver, Private Pay, Medical Assistance",On Site,Awake,6515005885,"Wheelchair, Hoyer Lift, Ramp, Hospital Bed, Bathroom Hand Rails",5492,"Benedetta Home Care (55 + CADI, EW, BI)",MN,"CRS/Formerly SLS, In-Home",1:2,"Jul 20, 2023",https://mnopenings.org/profile/housing/?profile=5492
13804 Thomas Ave S,"Main Floor, Basement /",1,"Self Injurious, Verbal Aggression, Physical Aggression, Property Destruction, Elopement, Alcohol / Chemical Dependency, Emergency Use of Controlled Procedure, Positive Support Transition Plan",Burnsville,"CADI Waiver, TBI, Elderly Waiver, Private Pay",On Site,Awake,952 594 1062,,3741,Alliance Home Care (18 years +),MN,In-Home,1:2,"Jul 20, 2023",https://mnopenings.org/profile/housing/?profile=3741
"(CALL NOW FIRST 2 MONTHS RENT FREE)1422 Trollhagen Dr NE , MN 55421","Main Floor, Basement, Upstairs /",3,"Self Injurious, Verbal Aggression, Physical Aggression, Property Destruction, Elopement, Undesirable Sexual Behaviors, Alcohol / Chemical Dependency, Emergency Use of Controlled Procedure, Positive Support Transition Plan",Fridley,"CAC, CADI Waiver, TBI, Elderly Waiver, Private Pay, Medical Assistance",On Site,Awake,763-316-8468,"Wheelchair, Hoyer Lift, Ramp, Hospital Bed, Bathroom Hand Rails",4912,CareChoice Homes LLC,MN,"CRS/Formerly SLS, ICF, SILS, In-Home, Respite, Temporary Care",1:1,"Jul 20, 2023",https://mnopenings.org/profile/housing/?profile=4912
763 County RD B2W,"Main Floor, Basement /",1,"Self Injurious, Verbal Aggression, Physical Aggression, Property Destruction, Elopement, Undesirable Sexual Behaviors, Alcohol / Chemical Dependency, Emergency Use of Controlled Procedure, Positive Support Transition Plan",ROSEVILLE,"CAC, CADI Waiver, TBI, Elderly Waiver, Private Pay, Medical Assistance",On Call,Awake,612-991-4004,"Wheelchair, Hoyer Lift, Ramp, Bathroom Hand Rails",4059,Safe Care Homes Inc,MN,"CRS/Formerly SLS, ICF, SILS, In-Home, Respite, Temporary Care, Out of Metro Crisis Bed",1:2,"Jul 20, 2023",https://mnopenings.org/profile/housing/?profile=4059
11324 Florida Avenue North,"Main Floor, Upstairs /",4,"Self Injurious, Verbal Aggression, Physical Aggression, Property Destruction",Champlin,"CADI Waiver, TBI, Elderly Waiver, Private Pay",,Awake,763-843-9684,"Wheelchair, Ramp",5249,Betty Care Services,MN,"CRS/Formerly SLS, In-Home",1:2,"Jul 20, 2023",https://mnopenings.org/profile/housing/?profile=5249
10921 Jersey CT N,"Basement, Upstairs /",5,"Self Injurious, Verbal Aggression, Physical Aggression, Property Destruction, Elopement, Undesirable Sexual Behaviors, Emergency Use of Controlled Procedure, Positive Support Transition Plan",Champlin,"CAC, CADI Waiver, TBI, Elderly Waiver, Private Pay, Medical Assistance",On Site,Awake,6122035987,"Hoyer Lift, Hospital Bed, Bathroom Hand Rails",5410,Gentlecare Assisted Living,MN,"In-Home, Respite, Temporary Care",1:2,"Jul 20, 2023",https://mnopenings.org/profile/housing/?profile=5410
890 Clarence Street,"Basement, Upstairs /",3,"Self Injurious, Verbal Aggression, Physical Aggression, Property Destruction, Elopement, Undesirable Sexual Behaviors, Alcohol / Chemical Dependency, Emergency Use of Controlled Procedure, Positive Support Transition Plan",Saint Paul,CADI Waiver,On Site,Awake,6517343183,Bathroom Hand Rails,3895,AmeriGrace Home Care LLC,MN,"CRS/Formerly SLS, In-Home",1:3,"Jul 20, 2023",https://mnopenings.org/profile/housing/?profile=3895
9633 Hale Avenue South,"Main Floor, Upstairs /",1,"Self Injurious, Verbal Aggression, Physical Aggression, Property Destruction, Elopement, Undesirable Sexual Behaviors, Alcohol / Chemical Dependency, Emergency Use of Controlled Procedure, Positive Support Transition Plan",Cottage Grove,"CADI Waiver, TBI, Elderly Waiver, Private Pay, Medical Assistance",On Site,Awake,6517343183,Bathroom Hand Rails,2984,AmeriGrace Home Care LLC,MN,"CRS/Formerly SLS, SILS, In-Home, Out of Metro Crisis Bed",1:2,"Jul 20, 2023",https://mnopenings.org/profile/housing/?profile=2984
1861 Preserve Court,"Main Floor, Basement /",1,"Self Injurious, Verbal Aggression, Elopement, Alcohol / Chemical Dependency, Positive Support Transition Plan",Shakopee,"CADI Waiver, TBI, Elderly Waiver, Private Pay, Medical Assistance",Weekly Visit,Awake,952-4869134,"Wheelchair, Hoyer Lift, Ramp, Bathroom Hand Rails",3830,Martha House Shakopee,MN,"CRS/Formerly SLS, SILS, Out of Metro Crisis Bed",1:3,"Jul 20, 2023",https://mnopenings.org/profile/housing/?profile=3830
516 Brookdale Drive N,Main Floor /,1,,Brooklyn Park,"DD Waiver, CAC, CADI Waiver, TBI, Elderly Waiver, Medical Assistance",,Awake,7635661744,,2163,Tolad Inc,MN,"CRS/Formerly SLS, Foster Care",,"Jul 19, 2023",https://mnopenings.org/profile/housing/?profile=2163
2900 84th Ave North,"Main Floor, Basement /",2,,Brooklyn Park,"DD Waiver, Medical Assistance",,Awake,763-566-1744,,2162,Tolad Inc,MN,"CRS/Formerly SLS, Foster Care",2:4,"Jul 19, 2023",https://mnopenings.org/profile/housing/?profile=2162
8208 Kentucky Avenue N,"Main Floor, Basement /",2,,Brooklyn Park,"DD Waiver, CAC, CADI Waiver, TBI, Elderly Waiver, Medical Assistance",,Awake,763-566-1744,,2161,Tolad Inc,MN,CRS/Formerly SLS,2:4,"Jul 19, 2023",https://mnopenings.org/profile/housing/?profile=2161
4100 61st Ave N,"Main Floor, Basement /",2,,Brooklyn Center,"DD Waiver, Medical Assistance",,Awake,763.566.1744,,2332,Tolad Inc,MN,CRS/Formerly SLS,2:4,"Jul 19, 2023",https://mnopenings.org/profile/housing/?profile=2332
6917 101st Street South,"Main Floor, Upstairs /",3,"Self Injurious, Verbal Aggression, Physical Aggression, Property Destruction, Elopement, Undesirable Sexual Behaviors, Alcohol / Chemical Dependency",Cottage Grove,"CADI Waiver, TBI, Elderly Waiver, Private Pay, Medical Assistance",On Site,Awake,952-297-9972,"Wheelchair, Stair Lift, Bathroom Hand Rails",5172,EASTERN HOME CARE INC,MN,"CRS/Formerly SLS, In-Home, Respite",1:3,"Jul 19, 2023",https://mnopenings.org/profile/housing/?profile=5172
2200 East 88th Street,"Main Floor, Basement /",2,"Self Injurious, Verbal Aggression, Physical Aggression, Property Destruction, Elopement, Undesirable Sexual Behaviors, Alcohol / Chemical Dependency, Emergency Use of Controlled Procedure, Positive Support Transition Plan",Bloomington,"CAC, CADI Waiver, Private Pay, Medical Assistance",On Site,Awake,612-751-0854,"Wheelchair, Hoyer Lift, Ramp, Hospital Bed, Stair Lift, Bathroom Hand Rails",3892,Universal Health Services,MN,"CRS/Formerly SLS, SILS, In-Home",1:2,"Jul 19, 2023",https://mnopenings.org/profile/housing/?profile=3892
1359 Knoll Drive,Upstairs /,3,"Self Injurious, Verbal Aggression, Physical Aggression, Property Destruction, Elopement, Undesirable Sexual Behaviors, Alcohol / Chemical Dependency, Emergency Use of Controlled Procedure, Positive Support Transition Plan",Shakopee,"CAC, CADI Waiver, TBI, Private Pay, Medical Assistance",On Site,Awake,763-843-1255,"Hospital Bed, Stair Lift, Bathroom Hand Rails",4701,Universal Health Services,MN,"CRS/Formerly SLS, ICF, SILS",1:2,"Jul 19, 2023",https://mnopenings.org/profile/housing/?profile=4701
7300 Russell Avenue S,"Main Floor, Basement /",2,"Self Injurious, Verbal Aggression, Physical Aggression, Property Destruction, Elopement, Undesirable Sexual Behaviors, Alcohol / Chemical Dependency, Emergency Use of Controlled Procedure, Positive Support Transition Plan",Richfield,"CADI Waiver, TBI, Private Pay, Medical Assistance",On Site,Awake,612-751-0854,"Wheelchair, Hoyer Lift, Ramp, Hospital Bed, Bathroom Hand Rails",3663,Universal Health Services,MN,"CRS/Formerly SLS, SILS, In-Home, Temporary Care",1:2,"Jul 19, 2023",https://mnopenings.org/profile/housing/?profile=3663
10324 Portland Avenue S,"Main Floor, Basement /",2,"Self Injurious, Verbal Aggression, Physical Aggression, Property Destruction, Elopement, Undesirable Sexual Behaviors, Alcohol / Chemical Dependency, Emergency Use of Controlled Procedure, Positive Support Transition Plan",Bloomington,"CADI Waiver, TBI, Private Pay, Medical Assistance",On Site,Awake,612-751-0854,"Wheelchair, Hoyer Lift, Ramp, Hospital Bed, Stair Lift, Bathroom Hand Rails",3638,Universal Health Services,MN,"CRS/Formerly SLS, SILS, In-Home, Temporary Care",1:2,"Jul 19, 2023",https://mnopenings.org/profile/housing/?profile=3638
3352 139th Ave NW,"Main Floor, Basement, Upstairs /",2,"Self Injurious, Verbal Aggression, Physical Aggression, Property Destruction, Elopement, Undesirable Sexual Behaviors, Alcohol / Chemical Dependency, Emergency Use of Controlled Procedure, Positive Support Transition Plan",Andover,"CAC, CADI Waiver, TBI, Elderly Waiver, Private Pay, Medical Assistance",On Site,Awake,612-751-0854,"Wheelchair, Hoyer Lift, Hospital Bed, Stair Lift, Bathroom Hand Rails",3367,Universal Health Services,MN,"CRS/Formerly SLS, SILS, In-Home, Temporary Care",1:2,"Jul 19, 2023",https://mnopenings.org/profile/housing/?profile=3367
6319 INDIANA AV N,Main Floor /,3,"Self Injurious, Verbal Aggression, Physical Aggression, Property Destruction, Undesirable Sexual Behaviors, Alcohol / Chemical Dependency, Positive Support Transition Plan",BROOKLYN CENTER,CADI Waiver,On Site,Awake,6516312535,"Wheelchair, Ramp, Bathroom Hand Rails",5533,GOODNESS AND MERCY HEALTH SERVICES,MN,ICF,1:3,"Jul 19, 2023",https://mnopenings.org/profile/housing/?profile=5533
3808 61ST AVE N,Main Floor /,2,"Self Injurious, Verbal Aggression, Physical Aggression, Property Destruction, Elopement, Undesirable Sexual Behaviors, Alcohol / Chemical Dependency, Emergency Use of Controlled Procedure, Positive Support Transition Plan",BROOKLYN CENTER,"CADI Waiver, TBI, Private Pay",On Site,Awake,6516312535,"Wheelchair, Ramp",5532,GOODNESS AND MERCY HEALTH SERVICES,MN,CRS/Formerly SLS,2:4,"Jul 19, 2023",https://mnopenings.org/profile/housing/?profile=5532
3200 63RD AVENUE N,"Main Floor, Basement /",1,"Self Injurious, Verbal Aggression, Physical Aggression, Property Destruction, Elopement, Undesirable Sexual Behaviors, Alcohol / Chemical Dependency, Positive Support Transition Plan",BROOKLYN CENTER,"CADI Waiver, TBI, Private Pay",On Site,Awake,6516312535,"Wheelchair, Ramp, Bathroom Hand Rails",5534,GOODNESS AND MERCY HEALTH SERVICES,MN,CRS/Formerly SLS,1:2,"Jul 19, 2023",https://mnopenings.org/profile/housing/?profile=5534
1167 15th Ave SE,"Main Floor, Upstairs /",4,"Self Injurious, Verbal Aggression, Physical Aggression, Property Destruction, Elopement, Undesirable Sexual Behaviors, Alcohol / Chemical Dependency, Emergency Use of Controlled Procedure, Positive Support Transition Plan",Minneapolis,"CADI Waiver, Elderly Waiver, Private Pay, Medical Assistance",On Site,Awake,612-644-8831,"Ramp, Bathroom Hand Rails",4325,duale Inc,MN,"In-Home, Out of Metro Crisis Bed",1:3,"Jul 19, 2023",https://mnopenings.org/profile/housing/?profile=4325
1488 Jewel Drive,Main Floor /,3,"Self Injurious, Verbal Aggression, Physical Aggression, Property Destruction, Elopement, Alcohol / Chemical Dependency, Emergency Use of Controlled Procedure, Positive Support Transition Plan",Woodbury,"CADI Waiver, TBI, Elderly Waiver, Private Pay",On Site,Awake,612 -723-8364,"Wheelchair, Hoyer Lift, Ramp, Hospital Bed, Bathroom Hand Rails",5261,Golden Arms Home Healthcare LLC,MN,"In-Home, Respite, Out of Metro Crisis Bed",1:1,"Jul 19, 2023",https://mnopenings.org/profile/housing/?profile=5261
